"Status","Date and Time","Response Time (ms)","Error","Location"
"up","09/02/2014 10:09:51AM","602 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 10:04:51AM","547 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 09:59:51AM","570 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 09:54:51AM","711 ms","OK","Strasbourg (France)"
"up","09/02/2014 09:49:51AM","473 ms","OK","New York (NY)"
"up","09/02/2014 09:44:51AM","1,181 ms","OK","Seattle (WA)"
"up","09/02/2014 09:39:51AM","674 ms","OK","Vienna (Austria)"
"up","09/02/2014 09:34:51AM","595 ms","OK","Charlotte (NC)"
"up","09/02/2014 09:29:51AM","1,314 ms","OK","Philadelphia (PA)"
"up","09/02/2014 09:24:51AM","445 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 09:19:51AM","427 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 09:14:51AM","2,865 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 09:09:52AM","1,806 ms","OK","Strasbourg (France)"
"up","09/02/2014 09:04:51AM","565 ms","OK","New York (NY)"
"up","09/02/2014 08:59:51AM","1,406 ms","OK","Seattle (WA)"
"up","09/02/2014 08:54:51AM","704 ms","OK","Vienna (Austria)"
"up","09/02/2014 08:49:51AM","502 ms","OK","Charlotte (NC)"
"up","09/02/2014 08:44:51AM","468 ms","OK","Philadelphia (PA)"
"up","09/02/2014 08:39:51AM","1,241 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 08:34:51AM","1,607 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 08:29:51AM","755 ms","OK","Amsterdam 3 (Netherlands)"
"up","09/02/2014 08:24:51AM","887 ms","OK","Strasbourg (France)"
"up","09/02/2014 08:19:51AM","1,348 ms","OK","New York (NY)"
"up","09/02/2014 08:14:51AM","570 ms","OK","Seattle (WA)"
"up","09/02/2014 08:09:51AM","657 ms","OK","Vienna (Austria)"
"up","09/02/2014 08:04:51AM","447 ms","OK","Charlotte (NC)"
"up","09/02/2014 07:59:51AM","435 ms","OK","Philadelphia (PA)"
"up","09/02/2014 07:54:51AM","432 ms","OK","Toronto 4 (Canada)"
"up","09/02/2014 07:49:51AM","714 ms","OK","Las Vegas 3 (NV)"
"up","09/02/2014 07:44:51AM","1,108 ms","OK","Amsterdam 3 (Netherlands)"
